label,text,clean_text
ham,"Hey, are we still on for lunch tomorrow?",hey are we still on for lunch tomorrow
ham,I'll call you when I get home from work.,ill call you when i get home from work
ham,Can you send me the notes from today's class?,can you send me the notes from todays class
ham,Happy birthday! Hope you have an amazing day.,happy birthday hope you have an amazing day
ham,"Running a bit late, be there in 10 minutes.",running a bit late be there in  minutes
ham,"Thanks for the ride yesterday, really appreciated.",thanks for the ride yesterday really appreciated
ham,Don't forget the meeting tomorrow morning.,dont forget the meeting tomorrow morning
ham,Can we reschedule our meeting to tomorrow?,can we reschedule our meeting to tomorrow
ham,"I'll be at the meeting, see you tomorrow.",ill be at the meeting see you tomorrow
ham,"Thanks so much, talk to you tomorrow.",thanks so much talk to you tomorrow
ham,Let's grab lunch after the meeting tomorrow.,lets grab lunch after the meeting tomorrow
ham,"Sorry I missed your call earlier, call me back.",sorry i missed your call earlier call me back
ham,Can you call me when you get a chance?,can you call me when you get a chance
ham,I'll call the doctor to book an appointment.,ill call the doctor to book an appointment
ham,"Mom said dinner is ready, come home now.",mom said dinner is ready come home now
ham,See you at the gym later tonight.,see you at the gym later tonight
ham,"Traffic is bad, I might be late for work.",traffic is bad i might be late for work
ham,Can you pick up the kids from school today?,can you pick up the kids from school today
ham,"I forgot my notes at home, can you scan them?",i forgot my notes at home can you scan them
ham,Movie night this weekend? Let me know.,movie night this weekend let me know
ham,Coffee tomorrow morning before work?,coffee tomorrow morning before work
ham,Thanks for helping me with the project today.,thanks for helping me with the project today
ham,The project meeting got moved to tomorrow.,the project meeting got moved to tomorrow
ham,"Good night, talk to you tomorrow.",good night talk to you tomorrow
ham,"Congrats on the new job, so happy for you.",congrats on the new job so happy for you
ham,Can we do groceries together this weekend?,can we do groceries together this weekend
ham,"I'll be home late tonight, don't wait for dinner.",ill be home late tonight dont wait for dinner
ham,"Thanks again for everything, means a lot.",thanks again for everything means a lot
ham,"Let's plan the weekend trip, call me tonight.",lets plan the weekend trip call me tonight
